206881;Mist;316 11th Street, San Francisco, CA 94103
208812;Morris Dailey Auditorium SJSU;1 Washington Square, San Jose, CA, 95112
181090;Modesto Centre Plaza;1000 L Street, Modesto, CA 95354
53282;Monterey Fairgrounds  - Monterey;2004 Fairground Road, Monterey, CA 93940
222;Nob Hill Masonic Auditorium - San Francisco;1111 California Street, San Francisco, CA 94108
68282;Mezzanine - San Francisco;444 Jessie Street, San Francisco, CA 94103
80200;Napa Valley Opera House - Napa;1030 Main St, Napa, CA 94559
58382;McKeon Pavilion;1928 St Marys Rd Moraga, CA 94556
58383;Memorial Gym (SF) - San Francisco;2335 Golden Gate Avenue, San Francisco, CA 94118
161;San Jose Event Center;290 South 7th Street, San Jose, CA 95112
182353;Oakland Metro;630 3rd Street, Oakland Ca 94607
212117;Sweetwater Music Hall;19 Corte Madera Ave, Mill Valley, CA 94941
101;Orpheum Theater SF;1192 Market Street, San Francisco, CA 94102
102;Oracle (formerly Oakland Arena) - Oakland;7000 Coliseum Way, Oakland, CA 94621
209363;San Francisco Belle Yacht;Pier 35, The Embarcadero, San Francisco, CA 94111
8182;Save Mart Center;2650 East Shaw Avenue, Fresno, CA 93710
209321;Terrapin Crossroads;100 Yacht Club Drive, San Rafael, CA 94901
3561;Selland Arena - Fresno Convention Center - Fresno;700 M Street, Fresno, CA 93721
9665;Pebble Beach;2700 17 Mile Drive, Pebble Beach, CA 93953
163225;Robert Mondavi Winery;7801 St. Helena Highway, Oakville, CA 94562
74482;Plumas Fairgrounds;204 Fairgrounds Rd, Quincy, California
10544;Regency Ballroom - San Francisco;1300 Van Ness Avenue, San Francisco, CA 94109
207408;Sloane Nightclub;1525 Mission Street, San Francisco, CA 94103
209404;Stockton BallPark;404 West Fremont Street, Stockton, CA 95203
152123;Point Tiburon Plaza;1701 Tiburon Boulevard, Belvedere Tiburon, CA 94920
8470;Santa Cruz Civic Auditorium;307 Church Street, Santa Cruz, CA 95060
83;O.co Coliseum;7000 Coliseum Way, Oakland, CA 94621
87;Stanford Stadium - Palo Alto;625 Nelson Rd Stanford, California 94305
89;Spartan Stadium (San Jose) - San Jose;1257 S 10th St San Jose, CA 95192
99;War Memorial Opera House - San Francisco;301 Van Ness Avenue, San Francisco, CA 94102
98;Paramount Theatre - Oakland;2025 Broadway, Oakland, CA 94612
93;Sleep Train Pavilion;2000 Kirker Pass Road, Concord, CA 94521
90;Shoreline Amphitheatre - Mountain View;1 Amphitheatre Parkway, Mountain View, CA 94043
344;Palace of Fine Arts;3301 Lyon Street, San Francisco, CA 94123
8388;State Theater - Modesto;1307 J Street, Modesto, CA 95354
149109;The Crepe Place;1134 Soquel Avenue, Santa Cruz, CA 95062
261;Slims - San Francisco;333 11th Street, San Francisco, CA 94103
6827;Ruby Skye Nightclub;420 Mason Street, San Francisco, CA 94102
206804;Roe SF;651 Howard Street, San Francisco, CA 94105
41281;Salinas Sports Complex - Salinas;1034 North Main Street, Salinas, CA 93906
98999;Olympic Club;599 Skyline Blvd San Francisco, CA 94132
5929;San Jose Center for the Performing Arts;255 Almaden Boulevard, San Jose, CA 95113
178030;Sunset Center;PO Box 1950, San Carlos St and 9th Ave, Carmel, CA 93921
84393;Rainbow Ballroom;1725 Broadway Street, Fresno, CA 93721
212634;Rhythmix Cultural Works;2513 Blanding Avenue, Alameda, CA 94501
175932;Starline;2401 Peralta Street, Oakland, CA 94607
149310;Sunken Diamond;151 Sam McDonald Mall , Stanford, California 94305
206726;The Ambassador;673 Geary Street, San Francisco, CA 94102
206725;Sens;4 Embarcadero Center, San Francisco, CA
33570;The Independent - San Francisco;628 Divisadero Street, San Francisco, CA 94117
